"SETTLEMENT.DATE","CUSIP","SYMBOL","QUANTITY..FAILS.","DESCRIPTION","PRICE","GME Allocation"
20210112,"92204A108","VCR",20611,"VANGUARD CONSUMER DISCRETIONAR","284.31","1.16%"
20210112,"92206C599","VTHR",5054,"VANGUARD RUSSELL 3000 ETF","177.09","0.00%"
20210112,"92206C649","VTWV",24629,"VANGUARD RUSSELL 2000 VALUE ET","122.51","0.09%"
20210112,"92206C664","VTWO",39658,"VANGUARD RUSSELL 2000 ETF","167.38","0.04%"
20210112,"922908611","VBR",392,"VANGUARD SMALL-CAP VALUE ETF","149.30","0.31%"
20210112,"922908652","VXF",8829,"VANGUARD EXTENDED MARKET ETF","171.97","0.02%"
20210112,"922908751","VB",640,"VANGUARD SMALL-CAP ETF","203.76","0.17%"
20210113,"025072885","AVUS",1364,"AMERICAN CENTY ETF TR AVANTIS ","65.54","0.02%"
20210113,"25460G815","RETL",178031,"DIREXION DAILY RETAIL BULL 3X ","124.79","2.87%"
20210113,"30151E673","NVQ",442,"EXCHANGE LISTED FDS TR QRAFT A","28.69","0.25%"
20210113,"316092204","FDIS",31253,"FIDELITY COVINGTON TR MSCI CON","74.96","0.13%"
20210113,"36467W109","GME",662524,"GAMESTOP CORP (HLDG CO) CL A","19.95",NA
20210113,"381430602","GSSC",22153,"GOLDMAN SACHS ETF TR ACTIVEBET","58.44","0.27%"
20210113,"46137V183","EWSC",5097,"INVESCO","70.75","0.54%"
20210113,"46137V480","XSVM",4566,"INVESCO S&P SMALLCAP VALUE WIT","38.67","2.45%"
20210113,"46137V613","PRF",95,"INVESCO EXCHANGE-TRADED FD TR ","138.62","0.44%"
20210113,"46138E180","PSCD",11560,"INVESCO S&P SMALLCAP CONSUMER ","91.30","1.92%"
20210113,"46138E453","PBSM",47003,"INVESCO ETF TR II PUREBETA MSC","35.99","0.07%"
20210113,"46138G664","RWJ",32695,"INVESCO EXCHANGE-TRADED FD TR ","89.92","2.11%"
20210113,"46138J593","OMFS",13336,"INVESCO EXCHANGE-TRADED SELF-I","36.02","0.15%"
20210113,"46138J734","IUSS",302,"INVESCO EXCH-TRADED SELF INDX ","31.62","1.25%"
20210113,"464287150","ITOT",1528,"ISHARES CORE S&P TOTAL U.S. ST","88.07","0.01%"
20210113,"464287655","IWM",11699,"ISHARES RUSSELL 2000 ETF","211.26","0.10%"
20210113,"464287804","IJR",4,"ISHARES CORE S&P SM CAP ETF","99.86","0.28%"
20210113,"464287887","IJT",8006,"ISHARES S&P SMALL CAP 600 GROW","123.24","0.26%"
20210113,"464288869","IWC",604,"RUSSELL MICRO CAP ETF","129.78","0.59%"
20210113,"46436E544","XJR",846,"ISHARES TRESG SCREENED S&P SMA","35.88","0.30%"
20210113,"46436E775","STSB",100,"ISHARES TR FACTORS US SMALL BL","43.48","0.11%"
20210113,"46641Q290","BBSC",20,"JP MORGAN EXC-TRD TR BETABUILD","61.73","0.15%"
20210113,"67092P607","NUSC",14772,"NUVEEN ESG SMALL-CAP ETF","40.91","0.30%"
20210113,"74347R842","UWM",1330,"PROSHARES ULTRA RUSSELL 2000","103.85","0.07%"
20210113,"74347X799","URTY",245,"PROSHARES TRUST PROSHRS ULTRAP","97.56","0.05%"
20210113,"78464A128","VLU",336,"SPDR S&P 1500 VALUE TILT ETF","127.96","0.04%"
20210113,"78464A201","SLYG",1728,"SPDR S&P 600 SMALL CAP GROWTH ","82.45","0.26%"
20210113,"78464A300","SLYV",79,"SPDR S&P 600 SMALL CAP VALUE E","72.34","0.30%"
20210113,"78464A714","XRT",877,"SPDR SERIES TR SPDR S&P RETAIL","71.81","3.44%"
20210113,"78464A813","SLY",8094,"SPDR S&P 600 SMALL CAP ETF","86.47","0.29%"
20210113,"78468R853","SPSM",619,"SPDR PORTFOLIO S&P 600 SMALL C","38.85","0.29%"
20210113,"808524102","SCHB",10281,"SCHWAB STRATEGIC TR US BROAD M","92.91","0.01%"
20210113,"808524771","FNDX",67,"SCHWAB FUNDAMENTAL U S LARGE C","47.16","0.39%"
20210113,"808524789","FNDB",2753,"SCHWAB FUNDAMENTAL U S BROAD M","46.93","0.35%"
20210113,"886364405","SFYF",26197,"TIDAL ETF TR SOFI 50 ETF","28.62","0.69%"
20210113,"92204A108","VCR",51164,"VANGUARD CONSUMER DISCRETIONAR","289.08","1.16%"
20210113,"92206C599","VTHR",9565,"VANGUARD RUSSELL 3000 ETF","177.77","0.00%"
20210113,"92206C649","VTWV",18772,"VANGUARD RUSSELL 2000 VALUE ET","125.00","0.09%"
20210113,"92206C664","VTWO",17329,"VANGUARD RUSSELL 2000 ETF","170.53","0.04%"
20210113,"922908611","VBR",706,"VANGUARD SMALL-CAP VALUE ETF","151.71","0.31%"
20210113,"922908652","VXF",99541,"VANGUARD EXTENDED MARKET ETF","174.42","0.02%"
20210113,"922908769","VTI",3107,"VANGUARD TOTAL STOCK MARKET ET","198.76","0.00%"
20210114,"025072885","AVUS",2255,"AMERICAN CENTY ETF TR AVANTIS ","65.36","0.02%"
20210114,"25460G815","RETL",179448,"DIREXION DAILY RETAIL BULL 3X ","123.42","2.87%"
20210114,"26924G706","GAMR",127,"ETF MANAGERS TR WEDBUSH ETFMG ","82.00","4.87%"
20210114,"30151E673","NVQ",487,"EXCHANGE LISTED FDS TR QRAFT A","28.53","0.25%"
20210114,"316092204","FDIS",49197,"FIDELITY COVINGTON TR MSCI CON","74.88","0.13%"
20210114,"36467W109","GME",621483,"GAMESTOP CORP (HLDG CO) CL A","31.40",NA
20210114,"381430602","GSSC",14299,"GOLDMAN SACHS ETF TR ACTIVEBET","57.96","0.27%"
20210114,"46137V183","EWSC",924,"INVESCO","70.18","0.54%"
20210114,"46137V480","XSVM",374,"INVESCO S&P SMALLCAP VALUE WIT","38.33","2.45%"
20210114,"46138E180","PSCD",19102,"INVESCO S&P SMALLCAP CONSUMER ","90.68","1.92%"
20210114,"46138E453","PBSM",60473,"INVESCO ETF TR II PUREBETA MSC","35.69","0.07%"
20210114,"46138G664","RWJ",16701,"INVESCO EXCHANGE-TRADED FD TR ","89.41","2.11%"
20210114,"46138J593","OMFS",14967,"INVESCO EXCHANGE-TRADED SELF-I","35.71","0.15%"
20210114,"464287150","ITOT",20120,"ISHARES CORE S&P TOTAL U.S. ST","88.15","0.01%"
20210114,"464287630","IWN",1,"ISHARES RUSSELL2000 VAL ETF","141.28","0.21%"
20210114,"464287655","IWM",54832,"ISHARES RUSSELL 2000 ETF","209.75","0.10%"
20210114,"464287879","IJS",5046,"ISHARES S&P SMALLCAP 600 VALUE","88.08","0.30%"
20210114,"464288570","DSI",3593,"ISHARES MSCI KLD 400 SOCIAL ET","72.49","0.02%"
20210114,"464288869","IWC",457,"RUSSELL MICRO CAP ETF","128.92","0.59%"
20210114,"46436E544","XJR",369,"ISHARES TRESG SCREENED S&P SMA","35.58","0.30%"
20210114,"46436E775","STSB",101,"ISHARES TR FACTORS US SMALL BL","43.19","0.11%"
20210114,"67092P607","NUSC",85674,"NUVEEN ESG SMALL-CAP ETF","40.68","0.30%"
20210114,"74347X294","HDG",135,"PROSHARES TRUST - PROSHARES HE","51.26","0.03%"
20210114,"74347X799","URTY",20774,"PROSHARES TRUST PROSHRS ULTRAP","95.55","0.05%"
20210114,"78464A128","VLU",312,"SPDR S&P 1500 VALUE TILT ETF","127.56","0.04%"
20210114,"78464A201","SLYG",73,"SPDR S&P 600 SMALL CAP GROWTH ","81.96","0.26%"
20210114,"78464A805","SPTM",117,"SPDR PORTFOLIO S&P 1500 COMPOS","47.00","0.01%"
20210114,"78464A813","SLY",8890,"SPDR S&P 600 SMALL CAP ETF","85.80","0.29%"
20210114,"78468R705","MMTM",66,"SPDR SER TR S&P 1500 MOMENTUM ","162.99","0.02%"
20210114,"78468R853","SPSM",421,"SPDR PORTFOLIO S&P 600 SMALL C","38.57","0.29%"
20210114,"808524607","SCHA",331,"SCHWAB STRATEGIC TR US SMALL-C","95.12","0.07%"
20210114,"808524771","FNDX",9267,"SCHWAB FUNDAMENTAL U S LARGE C","47.15","0.39%"
20210114,"808524789","FNDB",4590,"SCHWAB FUNDAMENTAL U S BROAD M","46.85","0.35%"
20210114,"886364405","SFYF",28224,"TIDAL ETF TR SOFI 50 ETF","28.82","0.69%"
20210114,"921932778","VIOV",3377,"VANGUARD S&P SMALL CAP 600 VAL","152.13","0.12%"
20210114,"921932794","VIOG",538,"VANGUARD S&P SMALL CAP 600 GRO","210.96","1.78%"
20210114,"921932828","VIOO",318,"VANGUARD S&P SMALL CAP 600 ETF","180.99","0.12%"
20210114,"92204A108","VCR",11996,"VANGUARD CONSUMER DISCRETIONAR","288.63","1.16%"
20210114,"92206C599","VTHR",13618,"VANGUARD RUSSELL 3000 ETF","177.85","0.00%"
20210114,"92206C649","VTWV",6625,"VANGUARD RUSSELL 2000 VALUE ET","123.83","0.09%"
20210114,"92206C664","VTWO",29950,"VANGUARD RUSSELL 2000 ETF","169.31","0.04%"
20210114,"922908652","VXF",34669,"VANGUARD EXTENDED MARKET ETF","173.53","0.02%"
20210114,"922908751","VB",1268,"VANGUARD SMALL-CAP ETF","205.56","0.17%"
20210114,"922908769","VTI",268,"VANGUARD TOTAL STOCK MARKET ET","198.98","0.00%"
20210115,"025072885","AVUS",1423,"AMERICAN CENTY ETF TR AVANTIS ","65.53","0.02%"
20210115,"25460G815","RETL",528,"DIREXION DAILY RETAIL BULL 3X ","135.40","2.87%"
20210115,"30151E673","NVQ",496,"EXCHANGE LISTED FDS TR QRAFT A","28.83","0.25%"
20210115,"316092204","FDIS",66898,"FIDELITY COVINGTON TR MSCI CON","74.80","0.13%"
20210115,"35473P876","FLQS",317,"FRANKLIN TEMPLETON ETF TR LIBE","34.04","0.28%"
20210115,"36467W109","GME",892653,"GAMESTOP CORP (HLDG CO) CL A","39.91",NA
20210115,"381430602","GSSC",10289,"GOLDMAN SACHS ETF TR ACTIVEBET","59.27","0.27%"
20210115,"46137V183","EWSC",589,"INVESCO","72.00","0.54%"
20210115,"46137V480","XSVM",369,"INVESCO S&P SMALLCAP VALUE WIT","39.55","2.45%"
20210115,"46138E180","PSCD",7111,"INVESCO S&P SMALLCAP CONSUMER ","93.30","1.92%"
20210115,"46138E453","PBSM",71198,"INVESCO ETF TR II PUREBETA MSC","36.25","0.07%"
20210115,"46138G664","RWJ",32378,"INVESCO EXCHANGE-TRADED FD TR ","92.60","2.11%"
20210115,"46138J593","OMFS",1991,"INVESCO EXCHANGE-TRADED SELF-I","36.67","0.15%"
20210115,"46138J734","IUSS",85,"INVESCO EXCH-TRADED SELF INDX ","31.91","1.25%"
20210115,"464287150","ITOT",5119,"ISHARES CORE S&P TOTAL U.S. ST","88.14","0.01%"
20210115,"464287689","IWV",29,"ISHARES RUSSELL 3000 ETF","228.29","0.01%"
20210115,"464287804","IJR",148167,"ISHARES CORE S&P SM CAP ETF","101.33","0.28%"
20210115,"464287879","IJS",547,"ISHARES S&P SMALLCAP 600 VALUE","90.17","0.30%"
20210115,"464287887","IJT",6933,"ISHARES S&P SMALL CAP 600 GROW","125.04","0.26%"
20210115,"464288570","DSI",463,"ISHARES MSCI KLD 400 SOCIAL ET","72.10","0.02%"
20210115,"464288869","IWC",1302,"RUSSELL MICRO CAP ETF","132.64","0.59%"
20210115,"46435U663","ESML",767,"ISHARES ESG AWARE MSCI USA SMA","36.97","0.18%"
20210115,"46436E544","XJR",930,"ISHARES TRESG SCREENED S&P SMA","36.36","0.30%"
20210115,"46436E775","STSB",110,"ISHARES TR FACTORS US SMALL BL","44.02","0.11%"
20210115,"67092P607","NUSC",92572,"NUVEEN ESG SMALL-CAP ETF","41.28","0.30%"
20210115,"74347R842","UWM",128,"PROSHARES ULTRA RUSSELL 2000","106.34","0.07%"
20210115,"74347X294","HDG",635,"PROSHARES TRUST - PROSHARES HE","51.73","0.03%"
20210115,"74347X799","URTY",9198,"PROSHARES TRUST PROSHRS ULTRAP","101.22","0.05%"
20210115,"78464A128","VLU",586,"SPDR S&P 1500 VALUE TILT ETF","128.31","0.04%"
20210115,"78464A201","SLYG",755,"SPDR S&P 600 SMALL CAP GROWTH ","83.77","0.26%"
20210115,"78464A300","SLYV",287,"SPDR S&P 600 SMALL CAP VALUE E","73.44","0.30%"
20210115,"78464A714","XRT",10187,"SPDR SERIES TR SPDR S&P RETAIL","73.72","3.44%"
20210115,"78464A813","SLY",11598,"SPDR S&P 600 SMALL CAP ETF","87.71","0.29%"
20210115,"808524607","SCHA",466,"SCHWAB STRATEGIC TR US SMALL-C","96.85","0.07%"
20210115,"808524789","FNDB",5185,"SCHWAB FUNDAMENTAL U S BROAD M","47.20","0.35%"
20210115,"886364405","SFYF",881,"TIDAL ETF TR SOFI 50 ETF","29.05","0.69%"
20210115,"921932778","VIOV",9398,"VANGUARD S&P SMALL CAP 600 VAL","155.70","0.12%"
20210115,"921932794","VIOG",1,"VANGUARD S&P SMALL CAP 600 GRO","215.64","1.78%"
20210115,"921932828","VIOO",1,"VANGUARD S&P SMALL CAP 600 ETF","185.12","0.12%"
20210115,"92204A108","VCR",10322,"VANGUARD CONSUMER DISCRETIONAR","288.43","1.16%"
20210115,"92206C599","VTHR",14979,"VANGUARD RUSSELL 3000 ETF","177.63","0.00%"
20210115,"92206C649","VTWV",2298,"VANGUARD RUSSELL 2000 VALUE ET","126.21","0.09%"
20210115,"92206C664","VTWO",178,"VANGUARD RUSSELL 2000 ETF","172.59","0.04%"
20210115,"922908611","VBR",1,"VANGUARD SMALL-CAP VALUE ETF","152.53","0.31%"
20210115,"922908652","VXF",68141,"VANGUARD EXTENDED MARKET ETF","175.43","0.02%"
20210115,"922908769","VTI",126,"VANGUARD TOTAL STOCK MARKET ET","198.79","0.00%"
20210119,"025072885","AVUS",1456,"AMERICAN CENTY ETF TR AVANTIS ","64.86","0.02%"
20210119,"25460G815","RETL",5019,"DIREXION DAILY RETAIL BULL 3X ","125.55","2.87%"
20210119,"30151E673","NVQ",496,"EXCHANGE LISTED FDS TR QRAFT A","28.48","0.25%"
20210119,"316092204","FDIS",96949,"FIDELITY COVINGTON TR MSCI CON","74.09","0.13%"
20210119,"35473P876","FLQS",230,"FRANKLIN TEMPLETON ETF TR LIBE","33.65","0.28%"
20210119,"36467W109","GME",1498576,"GAMESTOP CORP (HLDG CO) CL A","35.50",NA
20210119,"381430602","GSSC",23470,"GOLDMAN SACHS ETF TR ACTIVEBET","58.49","0.27%"
20210119,"46137V183","EWSC",1797,"INVESCO","70.70","0.54%"
20210119,"46137V480","XSVM",8802,"INVESCO S&P SMALLCAP VALUE WIT","38.79","2.45%"
20210119,"46137V613","PRF",39,"INVESCO EXCHANGE-TRADED FD TR ","137.89","0.44%"
20210119,"46138E180","PSCD",768,"INVESCO S&P SMALLCAP CONSUMER ","91.49","1.92%"
20210119,"46138E453","PBSM",41642,"INVESCO ETF TR II PUREBETA MSC","35.84","0.07%"
20210119,"46138G664","RWJ",61798,"INVESCO EXCHANGE-TRADED FD TR ","91.10","2.11%"
20210119,"46138J734","IUSS",71,"INVESCO EXCH-TRADED SELF INDX ","31.40","1.25%"
20210119,"464287150","ITOT",71,"ISHARES CORE S&P TOTAL U.S. ST","87.40","0.01%"
20210119,"464287630","IWN",5,"ISHARES RUSSELL2000 VAL ETF","141.98","0.21%"
20210119,"464287655","IWM",78429,"ISHARES RUSSELL 2000 ETF","210.75","0.10%"
20210119,"464287689","IWV",1,"ISHARES RUSSELL 3000 ETF","226.49","0.01%"
20210119,"464287804","IJR",228,"ISHARES CORE S&P SM CAP ETF","99.56","0.28%"
20210119,"464287879","IJS",18932,"ISHARES S&P SMALLCAP 600 VALUE","88.62","0.30%"
20210119,"464287887","IJT",49827,"ISHARES S&P SMALL CAP 600 GROW","122.85","0.26%"
20210119,"464288869","IWC",5914,"RUSSELL MICRO CAP ETF","130.79","0.59%"
20210119,"46435U663","ESML",272739,"ISHARES ESG AWARE MSCI USA SMA","36.44","0.18%"
20210119,"46436E544","XJR",660,"ISHARES TRESG SCREENED S&P SMA","35.74","0.30%"
20210119,"46436E775","STSB",60,"ISHARES TR FACTORS US SMALL BL","43.48","0.11%"
20210119,"67092P607","NUSC",102949,"NUVEEN ESG SMALL-CAP ETF","40.78","0.30%"
20210119,"74347X294","HDG",1016,"PROSHARES TRUST - PROSHARES HE","51.28","0.03%"
20210119,"74347X799","URTY",96,"PROSHARES TRUST PROSHRS ULTRAP","96.68","0.05%"
20210119,"78464A128","VLU",171,"SPDR S&P 1500 VALUE TILT ETF","126.47","0.04%"
20210119,"78464A300","SLYV",1566,"SPDR S&P 600 SMALL CAP VALUE E","72.23","0.30%"
20210119,"78464A714","XRT",9134,"SPDR SERIES TR SPDR S&P RETAIL","71.98","3.44%"
20210119,"78464A813","SLY",3526,"SPDR S&P 600 SMALL CAP ETF","86.15","0.29%"
20210119,"78468R705","MMTM",293,"SPDR SER TR S&P 1500 MOMENTUM ","160.84","0.02%"
20210119,"808524789","FNDB",604,"SCHWAB FUNDAMENTAL U S BROAD M","46.60","0.35%"
20210119,"886364405","SFYF",1080,"TIDAL ETF TR SOFI 50 ETF","28.61","0.69%"
20210119,"921932778","VIOV",13432,"VANGUARD S&P SMALL CAP 600 VAL","153.05","0.12%"
20210119,"921932794","VIOG",49,"VANGUARD S&P SMALL CAP 600 GRO","211.79","1.78%"
20210119,"921932828","VIOO",8452,"VANGUARD S&P SMALL CAP 600 ETF","181.88","0.12%"
20210119,"92204A108","VCR",58842,"VANGUARD CONSUMER DISCRETIONAR","285.87","1.16%"
20210119,"92206C599","VTHR",16095,"VANGUARD RUSSELL 3000 ETF","176.23","0.00%"
20210119,"92206C649","VTWV",5970,"VANGUARD RUSSELL 2000 VALUE ET","124.46","0.09%"
20210119,"92206C664","VTWO",28761,"VANGUARD RUSSELL 2000 ETF","169.98","0.04%"
20210119,"922908611","VBR",669,"VANGUARD SMALL-CAP VALUE ETF","150.76","0.31%"
20210119,"922908652","VXF",233053,"VANGUARD EXTENDED MARKET ETF","173.40","0.02%"
20210119,"922908751","VB",11,"VANGUARD SMALL-CAP ETF","205.36","0.17%"
20210119,"922908769","VTI",3534,"VANGUARD TOTAL STOCK MARKET ET","197.06","0.00%"
20210120,"025072885","AVUS",1155,"AMERICAN CENTY ETF TR AVANTIS ","65.43","0.02%"
20210120,"25460G815","RETL",76,"DIREXION DAILY RETAIL BULL 3X ","127.00","2.87%"
20210120,"30151E673","NVQ",356,"EXCHANGE LISTED FDS TR QRAFT A","28.97","0.25%"
20210120,"316092204","FDIS",115732,"FIDELITY COVINGTON TR MSCI CON","74.48","0.13%"
20210120,"35473P876","FLQS",596,"FRANKLIN TEMPLETON ETF TR LIBE","33.90","0.28%"
20210120,"36467W109","GME",1007562,"GAMESTOP CORP (HLDG CO) CL A","39.36",NA
20210120,"381430602","GSSC",28918,"GOLDMAN SACHS ETF TR ACTIVEBET","58.84","0.27%"
20210120,"46137V183","EWSC",2901,"INVESCO","71.41","0.54%"
20210120,"46137V480","XSVM",10236,"INVESCO S&P SMALLCAP VALUE WIT","39.12","2.45%"
20210120,"46137V613","PRF",33,"INVESCO EXCHANGE-TRADED FD TR ","138.85","0.44%"
20210120,"46138E453","PBSM",53796,"INVESCO ETF TR II PUREBETA MSC","36.26","0.07%"
20210120,"46138G664","RWJ",75732,"INVESCO EXCHANGE-TRADED FD TR ","91.87","2.11%"
20210120,"46138J593","OMFS",141,"INVESCO EXCHANGE-TRADED SELF-I","36.46","0.15%"
20210120,"46138J734","IUSS",41,"INVESCO EXCH-TRADED SELF INDX ","31.77","1.25%"
20210120,"464287150","ITOT",418,"ISHARES CORE S&P TOTAL U.S. ST","88.14","0.01%"
20210120,"464287630","IWN",2056,"ISHARES RUSSELL2000 VAL ETF","142.96","0.21%"
20210120,"464287655","IWM",101693,"ISHARES RUSSELL 2000 ETF","213.45","0.10%"
20210120,"464287689","IWV",5,"ISHARES RUSSELL 3000 ETF","228.39","0.01%"
20210120,"464287804","IJR",376653,"ISHARES CORE S&P SM CAP ETF","100.51","0.28%"
20210120,"464287879","IJS",11110,"ISHARES S&P SMALLCAP 600 VALUE","89.13","0.30%"
20210120,"464287887","IJT",100896,"ISHARES S&P SMALL CAP 600 GROW","124.62","0.26%"
20210120,"464288570","DSI",2,"ISHARES MSCI KLD 400 SOCIAL ET","72.50","0.02%"
20210120,"464288869","IWC",2,"RUSSELL MICRO CAP ETF","133.60","0.59%"
20210120,"46435U663","ESML",42323,"ISHARES ESG AWARE MSCI USA SMA","36.83","0.18%"
20210120,"46436E544","XJR",816,"ISHARES TRESG SCREENED S&P SMA","36.11","0.30%"
20210120,"46436E775","STSB",60,"ISHARES TR FACTORS US SMALL BL","43.94","0.11%"
20210120,"46641Q290","BBSC",35,"JP MORGAN EXC-TRD TR BETABUILD","62.50","0.15%"
20210120,"74347X294","HDG",1014,"PROSHARES TRUST - PROSHARES HE","51.42","0.03%"
20210120,"74347X799","URTY",29437,"PROSHARES TRUST PROSHRS ULTRAP","100.43","0.05%"
20210120,"78464A128","VLU",171,"SPDR S&P 1500 VALUE TILT ETF","127.47","0.04%"
20210120,"78464A201","SLYG",7,"SPDR S&P 600 SMALL CAP GROWTH ","83.38","0.26%"
20210120,"78464A300","SLYV",603,"SPDR S&P 600 SMALL CAP VALUE E","72.51","0.30%"
20210120,"78464A714","XRT",1144,"SPDR SERIES TR SPDR S&P RETAIL","72.33","3.44%"
20210120,"78464A805","SPTM",14599,"SPDR PORTFOLIO S&P 1500 COMPOS","46.87","0.01%"
20210120,"78464A813","SLY",298,"SPDR S&P 600 SMALL CAP ETF","87.10","0.29%"
20210120,"78468R705","MMTM",208,"SPDR SER TR S&P 1500 MOMENTUM ","162.41","0.02%"
20210120,"78468R853","SPSM",1,"SPDR PORTFOLIO S&P 600 SMALL C","39.15","0.29%"
20210120,"808524102","SCHB",20448,"SCHWAB STRATEGIC TR US BROAD M","92.98","0.01%"
20210120,"808524607","SCHA",4226,"SCHWAB STRATEGIC TR US SMALL-C","96.64","0.07%"
20210120,"808524771","FNDX",13046,"SCHWAB FUNDAMENTAL U S LARGE C","47.22","0.39%"
20210120,"808524789","FNDB",2791,"SCHWAB FUNDAMENTAL U S BROAD M","46.95","0.35%"
20210120,"886364405","SFYF",718,"TIDAL ETF TR SOFI 50 ETF","28.88","0.69%"
20210120,"921932778","VIOV",21149,"VANGUARD S&P SMALL CAP 600 VAL","153.79","0.12%"
20210120,"921932794","VIOG",264,"VANGUARD S&P SMALL CAP 600 GRO","214.74","1.78%"
20210120,"921932828","VIOO",10633,"VANGUARD S&P SMALL CAP 600 ETF","183.76","0.12%"
20210120,"92204A108","VCR",25854,"VANGUARD CONSUMER DISCRETIONAR","287.23","1.16%"
20210120,"92206C599","VTHR",6276,"VANGUARD RUSSELL 3000 ETF","177.52","0.00%"
20210120,"92206C649","VTWV",6612,"VANGUARD RUSSELL 2000 VALUE ET","125.18","0.09%"
20210120,"92206C664","VTWO",62072,"VANGUARD RUSSELL 2000 ETF","172.22","0.04%"
20210120,"922908751","VB",1,"VANGUARD SMALL-CAP ETF","207.73","0.17%"
20210120,"922908769","VTI",9607,"VANGUARD TOTAL STOCK MARKET ET","198.86","0.00%"
20210121,"025072885","AVUS",920,"AMERICAN CENTY ETF TR AVANTIS ","66.13","0.02%"
20210121,"132061201","SYLD",119,"CAMBRIA SHAREHOLDER YLD ETF","49.56","0.48%"
20210121,"26924G706","GAMR",10587,"ETF MANAGERS TR WEDBUSH ETFMG ","84.01","4.87%"
20210121,"30151E673","NVQ",145,"EXCHANGE LISTED FDS TR QRAFT A","29.13","0.25%"
20210121,"316092204","FDIS",45510,"FIDELITY COVINGTON TR MSCI CON","75.95","0.13%"
20210121,"35473P876","FLQS",596,"FRANKLIN TEMPLETON ETF TR LIBE","34.16","0.28%"
20210121,"36467W109","GME",1438994,"GAMESTOP CORP (HLDG CO) CL A","39.12",NA
20210121,"381430602","GSSC",26284,"GOLDMAN SACHS ETF TR ACTIVEBET","59.31","0.27%"
20210121,"46137V183","EWSC",6082,"INVESCO","71.52","0.54%"
20210121,"46137V480","XSVM",12809,"INVESCO S&P SMALLCAP VALUE WIT","39.41","2.45%"
20210121,"46137V613","PRF",493,"INVESCO EXCHANGE-TRADED FD TR ","139.81","0.44%"
20210121,"46138E453","PBSM",1839,"INVESCO ETF TR II PUREBETA MSC","36.43","0.07%"
20210121,"46138G664","RWJ",40481,"INVESCO EXCHANGE-TRADED FD TR ","92.31","2.11%"
20210121,"46138J593","OMFS",17,"INVESCO EXCHANGE-TRADED SELF-I","36.73","0.15%"
20210121,"464287150","ITOT",2636,"ISHARES CORE S&P TOTAL U.S. ST","89.23","0.01%"
20210121,"464287630","IWN",820,"ISHARES RUSSELL2000 VAL ETF","143.70","0.21%"
20210121,"464287655","IWM",565440,"ISHARES RUSSELL 2000 ETF","214.39","0.10%"
20210121,"464287879","IJS",12687,"ISHARES S&P SMALLCAP 600 VALUE","89.41","0.30%"
20210121,"464287887","IJT",112180,"ISHARES S&P SMALL CAP 600 GROW","125.34","0.26%"
20210121,"464288869","IWC",2564,"RUSSELL MICRO CAP ETF","134.06","0.59%"
20210121,"46435U663","ESML",48590,"ISHARES ESG AWARE MSCI USA SMA","37.05","0.18%"
20210121,"46436E544","XJR",1096,"ISHARES TRESG SCREENED S&P SMA","36.34","0.30%"
20210121,"46641Q290","BBSC",35,"JP MORGAN EXC-TRD TR BETABUILD","62.81","0.15%"
20210121,"67092P607","NUSC",8474,"NUVEEN ESG SMALL-CAP ETF","41.47","0.30%"
20210121,"74347R818","SAA",111,"PROSHARES ULTRA SMALLCAP600","129.76","0.18%"
20210121,"74347X294","HDG",300,"PROSHARES TRUST - PROSHARES HE","51.70","0.03%"
20210121,"74347X799","URTY",172,"PROSHARES TRUST PROSHRS ULTRAP","101.80","0.05%"
20210121,"78464A300","SLYV",2,"SPDR S&P 600 SMALL CAP VALUE E","72.81","0.30%"
20210121,"78464A714","XRT",17703,"SPDR SERIES TR SPDR S&P RETAIL","72.59","3.44%"
20210121,"78464A813","SLY",5489,"SPDR S&P 600 SMALL CAP ETF","87.49","0.29%"
20210121,"808524102","SCHB",23318,"SCHWAB STRATEGIC TR US BROAD M","94.16","0.01%"
20210121,"808524607","SCHA",33105,"SCHWAB STRATEGIC TR US SMALL-C","97.05","0.07%"
20210121,"808524771","FNDX",27,"SCHWAB FUNDAMENTAL U S LARGE C","47.54","0.39%"
20210121,"886364405","SFYF",480,"TIDAL ETF TR SOFI 50 ETF","29.40","0.69%"
20210121,"921932794","VIOG",123,"VANGUARD S&P SMALL CAP 600 GRO","216.18","1.78%"
20210121,"921932828","VIOO",20529,"VANGUARD S&P SMALL CAP 600 ETF","184.63","0.12%"
20210121,"92204A108","VCR",34046,"VANGUARD CONSUMER DISCRETIONAR","292.92","1.16%"
20210121,"92206C599","VTHR",6790,"VANGUARD RUSSELL 3000 ETF","179.97","0.00%"
20210121,"92206C649","VTWV",16561,"VANGUARD RUSSELL 2000 VALUE ET","125.72","0.09%"
20210121,"92206C664","VTWO",93118,"VANGUARD RUSSELL 2000 ETF","173.14","0.04%"
20210121,"922908611","VBR",128,"VANGUARD SMALL-CAP VALUE ETF","152.49","0.31%"
20210121,"922908652","VXF",28674,"VANGUARD EXTENDED MARKET ETF","176.56","0.02%"
20210121,"922908751","VB",333,"VANGUARD SMALL-CAP ETF","208.99","0.17%"
20210122,"025072885","AVUS",1289,"AMERICAN CENTY ETF TR AVANTIS ","65.95","0.02%"
20210122,"30151E673","NVQ",215,"EXCHANGE LISTED FDS TR QRAFT A","29.12","0.25%"
20210122,"316092204","FDIS",8500,"FIDELITY COVINGTON TR MSCI CON","76.29","0.13%"
